,Treatment,Invasion,Horizon,Rep,OTU1,OTU10,OTU100,OTU101,OTU102,OTU103,OTU104,OTU105,OTU106,OTU107,OTU108,OTU109,OTU11,OTU110,OTU111,OTU112,OTU113,OTU114,OTU115,OTU116,OTU117,OTU118,OTU119,OTU12,OTU120,OTU121,OTU122,OTU123,OTU124,OTU125,OTU126,OTU127,OTU128,OTU13,OTU14,OTU15,OTU16,OTU17,OTU18,OTU19,OTU2,OTU20,OTU21,OTU22,OTU23,OTU24,OTU25,OTU26,OTU27,OTU28,OTU29,OTU3,OTU30,OTU31,OTU32,OTU33,OTU34,OTU35,OTU36,OTU37,OTU38,OTU39,OTU4,OTU40,OTU41,OTU42,OTU43,OTU44,OTU45,OTU46,OTU47,OTU48,OTU49,OTU5,OTU50,OTU51,OTU52,OTU53,OTU54,OTU55,OTU56,OTU57,OTU58,OTU59,OTU6,OTU60,OTU61,OTU62,OTU63,OTU64,OTU65,OTU66,OTU67,OTU68,OTU69,OTU7,OTU70,OTU71,OTU72,OTU73,OTU74,OTU75,OTU76,OTU77,OTU78,OTU79,OTU8,OTU80,OTU81,OTU82,OTU83,OTU84,OTU85,OTU86,OTU87,OTU88,OTU89,OTU9,OTU90,OTU91,OTU92,OTU93,OTU94,OTU95,OTU96,OTU97,OTU98,OTU99
X20ubs,Control,Uninvaded,Mineral,4,0.242484177,0.023338608,0,0,0.001384494,0,0.00039557,0,0.004746835,0,0,0,0,0,0.000197785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07278481,0.032041139,0.018393987,0,0,0.053006329,0,0,0,0.016218354,0.004351266,0,0.004351266,0.006922468,0,0.003757911,0.131329114,0.002373418,0,0,0,0.007318038,0.000197785,0,0,0,0,0,0.00039557,0.004153481,0,0.015625,0,0,0.008504747,0,0,0.067049051,0,0.000988924,0,0,0,0,0,0,0,0,0,0.083267405,0,0,0,0.000791139,0,0,0,0,0.000593354,0,0.013449367,0,0,0,0,0,0,0,0,0,0,0.152294304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197785,0,0,0.001384494,0,0.000197785,0.025514241
X24uo,Control,Uninvaded,Organic,5,0.471518987,0,0.002966772,0,0,0,0.000791139,0,0.000988924,0.000197785,0,0,0.000197785,0,0,0,0,0,0,0,0,0,0,0.000988924,0,0,0,0,0,0,0,0,0,0.000197785,0,0.118473101,0.000791139,0,0,0.011075949,0.144976266,0.000197785,0.000791139,0,0.01602057,0.003757911,0.000791139,0,0.000197785,0,0.00039557,0.147151899,0.000988924,0.00039557,0,0,0.000791139,0.004351266,0,0,0.004746835,0,0.000791139,0.000197785,0.001384494,0,0,0,0.001780063,0.002175633,0,0.000791139,0.012658228,0.000197785,0,0,0,0.00039557,0,0,0,0,0,0,0.004153481,0,0,0,0.002966772,0.000197785,0.00039557,0,0,0,0.000197785,0.02630538,0,0,0.001977848,0,0,0,0,0,0,0,0.001186709,0,0.001977848,0,0,0,0,0.00039557,0,0,0,0.000197785,0,0,0.000197785,0.003955696,0,0.000197785,0.000197785,0,0.00039557,0.000988924
X12uo,Control,Uninvaded,Organic,3,0.123219937,0.018987342,0.002966772,0,0,0,0.000197785,0,0.000197785,0.000197785,0,0,0,0,0.000791139,0,0,0,0,0,0,0,0.000988924,0,0,0,0,0,0,0,0,0,0,0,0,0.111155063,0,0.000197785,0.000197785,0.000791139,0.187302215,0.008702532,0,0,0.049248418,0.004746835,0.002571203,0,0,0,0.000593354,0.230419304,0,0.00039557,0,0,0.001384494,0.001384494,0.007515823,0.014833861,0.016218354,0,0,0,0.00039557,0,0.001780063,0,0.013844937,0.001384494,0,0,0.00039557,0.023140823,0,0,0,0,0,0,0,0,0,0,0.002768987,0,0,0,0.01028481,0,0.00494462,0,0,0,0,0.009295886,0,0.000197785,0,0,0,0,0,0.000791139,0,0,0.063686709,0,0,0,0,0,0.000988924,0,0,0.002768987,0,0.074169304,0,0,0,0.002768987,0,0.000197785,0.00039557,0,0.00039557,0.000197785
X19uo,Control,Uninvaded,Organic,1,0.451542722,0,0.015427215,0.000197785,0.00039557,0,0,0,0,0,0,0,0,0.000197785,0,0,0,0,0,0,0,0,0,0,0,0,0.000593354,0,0,0,0,0.000197785,0.001384494,0.000988924,0,0.04153481,0.008504747,0,0,0,0.129549051,0.002373418,0.001384494,0.005735759,0.078916139,0.000791139,0,0.001186709,0.000593354,0,0,0.137262658,0.000593354,0.000197785,0,0,0.001384494,0.000791139,0.008900316,0,0,0.003362342,0.000593354,0.000791139,0,0,0,0,0.011273734,0,0,0,0.021756329,0,0,0,0,0,0,0.00039557,0,0,0,0.007318038,0.009295886,0,0,0,0,0,0,0,0,0,0,0.045688291,0.000197785,0.000791139,0.003362342,0,0,0,0.000791139,0,0,0,0.000197785,0,0,0.000988924,0,0,0,0,0,0,0,0,0.001384494,0,0,0.000791139,0.000197785,0,0.000197785,0,0,0
X20uo,Control,Uninvaded,Organic,4,0.117088608,0.005933544,0.000988924,0,0,0,0.04727057,0,0.000791139,0,0,0,0,0,0.000197785,0,0,0,0,0,0,0,0.000791139,0.00039557,0,0.001384494,0,0,0,0,0,0,0,0,0,0.127768987,0,0.001384494,0,0.001780063,0.154074367,0.000197785,0,0,0.019580696,0.003362342,0.003955696,0,0.000197785,0,0.004549051,0.059928797,0,0,0,0,0.00039557,0.002768987,0.029272152,0.009889241,0.008702532,0,0,0.000197785,0.005735759,0,0.007713608,0,0.153283228,0.011669304,0,0.012460443,0.008306962,0.001186709,0.000197785,0,0,0,0,0,0,0.00039557,0.000593354,0,0.017207278,0,0,0,0.006922468,0,0.01028481,0,0,0.001582278,0,0.003757911,0,0,0,0,0,0,0,0.00039557,0,0,0.101265823,0.012262658,0,0,0,0.000197785,0.001186709,0,0,0.001977848,0,0.029074367,0,0,0.001582278,0,0,0,0.007911392,0,0,0
X19ubs,Control,Uninvaded,Mineral,1,0.059731013,0,0,0,0.000791139,0,0,0.001977848,0,0,0,0,0.003164557,0.002373418,0,0,0,0,0.000197785,0,0.000197785,0,0,0,0,0,0,0.00039557,0,0,0,0,0.000197785,0.076147152,0.020371835,0,0.00039557,0.027887658,0.273734177,0,0.000593354,0.272943038,0,0.124208861,0,0,0,0,0,0.034810127,0,0.012262658,0,0.005735759,0.000197785,0.001780063,0,0,0,0,0,0.014636076,0,0.002175633,0,0,0,0,0,0,0,0,0,0,0.003757911,0,0.000197785,0,0,0.003164557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010087025,0,0,0,0,0,0.005142405,0.000791139,0,0.001977848,0,0.003560127,0,0,0.023338608,0,0,0,0,0,0,0,0,0,0,0,0,0.011075949,0,0,0,0,0
X24ubs,Control,Uninvaded,Mineral,5,0.028283228,0,0,0.001186709,0.005933544,0,0,0,0.000791139,0,0,0,0.000197785,0,0,0,0,0,0,0,0,0,0,0,0,0.005142405,0,0,0,0,0,0.011273734,0,0,0,0,0.041732595,0.02056962,0.095134494,0,0.004746835,0.062697785,0,0.019580696,0,0,0.003164557,0,0.009098101,0,0.000197785,0.646360759,0.015031646,0.004746835,0,0.003757911,0,0,0,0,0,0.001780063,0,0.000197785,0,0,0,0,0,0,0.000197785,0,0,0,0.000593354,0,0,0,0,0,0,0,0,0,0,0.000197785,0,0,0,0.000791139,0,0,0,0,0,0.000197785,0.00039557,0,0,0,0,0,0,0,0.000791139,0.003560127,0.002768987,0,0,0,0,0.00039557,0,0,0,0,0,0,0.006131329,0,0,0,0.002373418,0,0,0,0,0
X18gmbs,Warming,Invaded,Mineral,1,0.65664557,0,0.000988924,0,0,0.00039557,0,0,0,0,0,0,0.000593354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007911392,0.001186709,0,0.001384494,0.003164557,0,0,0.020174051,0.000791139,0,0.005933544,0,0.00039557,0,0.001384494,0,0.027887658,0,0.173655063,0.000988924,0.00039557,0.000593354,0.001977848,0,0.000197785,0.000791139,0.009295886,0,0,0,0.000197785,0.000988924,0,0,0,0,0.00494462,0,0,0,0,0,0,0,0,0,0,0,0,0.001977848,0,0.069224684,0,0,0,0,0.000197785,0,0.00039557,0,0,0,0.000791139,0.001186709,0,0,0,0,0.000197785,0,0,0,0.000197785,0.002571203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00039557,0,0,0,0,0
X18gmo,Warming,Invaded,Organic,1,0.210443038,0,0.002373418,0,0,0,0.000988924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001186709,0,0,0.000197785,0.000197785,0,0,0.00039557,0,0,0,0,0.075356013,0,0.000988924,0,0.002571203,0.181962025,0,0.002768987,0,0.012262658,0.005735759,0.005933544,0,0,0,0,0.410403481,0,0,0.00039557,0,0.001186709,0.001384494,0,0,0.013053797,0,0.006922468,0.00039557,0,0,0,0,0,0.000197785,0,0,0.01602057,0,0.00039557,0,0,0,0,0,0,0,0,0,0.003560127,0,0,0,0.001384494,0.000197785,0.001582278,0,0,0,0,0.027887658,0,0,0.000197785,0,0,0,0,0,0,0,0.005142405,0,0,0,0,0.000593354,0,0.000197785,0,0,0,0,0,0,0,0.002768987,0,0,0,0,0,0.002768987
X2gmbs,Warming,Invaded,Mineral,2,0.455696203,0,0,0.000197785,0,0.001186709,0,0,0,0,0.001384494,0,0,0.000988924,0,0,0,0,0,0,0,0,0,0,0,0,0.00039557,0,0,0,0,0.001186709,0,0.042128165,0,0.002571203,0,0.02056962,0.024129747,0,0.012262658,0.029469937,0.05715981,0.030261076,0,0,0,0,0,0,0,0.196202532,0.00039557,0.007515823,0.000197785,0.004351266,0,0,0,0,0,0.010878165,0.067049051,0,0,0,0,0,0.001582278,0,0,0,0,0,0.000197785,0,0.002966772,0,0,0,0,0,0.000988924,0,0.020371835,0,0,0.00039557,0,0,0,0.000197785,0,0,0,0.001186709,0,0,0,0,0,0.000197785,0.000197785,0,0.002175633,0,0.000593354,0,0,0,0,0.000197785,0,0,0.000593354,0,0,0,0.001186709,0,0,0.000197785,0,0,0,0,0,0.000593354
X13gmo,Warming,Invaded,Organic,3,0.525712025,0.013449367,0.003362342,0,0,0,0.000791139,0,0.000197785,0,0,0,0.000197785,0,0,0,0,0,0,0,0,0,0.000197785,0.00039557,0,0,0,0,0,0,0,0,0,0.001384494,0,0.090387658,0,0.006922468,0,0.023931962,0.108188291,0,0,0,0.002966772,0.010087025,0,0.001582278,0,0,0.00039557,0.113330696,0,0.001186709,0,0.00039557,0,0.001977848,0,0.001977848,0.002768987,0,0,0.00039557,0,0.000197785,0.001977848,0,0.008109177,0.001384494,0,0,0.00039557,0.009098101,0,0,0,0.000197785,0,0.000197785,0,0.001384494,0.000197785,0.000593354,0.003955696,0.000197785,0,0,0.00039557,0,0.000197785,0,0,0,0.000593354,0.006724684,0,0.000197785,0,0,0,0,0,0.000197785,0,0,0.029469937,0.002175633,0,0,0.00039557,0.00039557,0.000791139,0,0,0.000593354,0,0.014042722,0.002571203,0,0,0,0.000197785,0.000197785,0.00039557,0,0.00039557,0
X2gmo,Warming,Invaded,Organic,2,0.715783228,0,0.001186709,0,0,0,0.000197785,0,0,0,0,0.00039557,0,0,0,0,0,0,0,0,0,0,0,0.000197785,0,0,0,0.00039557,0.000197785,0,0,0.00039557,0,0.005142405,0,0.008109177,0.000197785,0.003164557,0,0.001977848,0.047072785,0.007318038,0.007318038,0.00039557,0,0.001384494,0,0,0,0,0,0.111352848,0.00039557,0.002373418,0,0.000593354,0.00039557,0.001186709,0,0,0,0.000197785,0.00534019,0.000197785,0.003164557,0,0,0,0,0.003164557,0,0.000197785,0,0.006526899,0,0.002571203,0,0.000197785,0,0,0,0.001186709,0,0,0.043117089,0,0,0,0,0,0,0,0,0,0,0.006526899,0,0,0.001780063,0,0,0,0,0,0,0,0,0.002373418,0,0,0,0,0,0.000197785,0,0,0,0,0.000988924,0,0,0.004549051,0,0,0.000593354,0,0,0
X13gmbs,Warming,Invaded,Mineral,3,0.278283228,0.02590981,0.003362342,0,0,0,0,0,0,0,0,0,0.001977848,0,0,0,0,0,0,0,0,0,0,0,0.000197785,0,0,0,0,0,0,0,0,0.003560127,0.003560127,0.027887658,0,0.001384494,0.000197785,0,0.008504747,0.007515823,0,0.019976266,0,0,0,0,0,0,0,0.474881329,0.002966772,0.00494462,0,0.016613924,0,0.00039557,0,0,0,0.005142405,0,0,0,0,0.004746835,0,0,0,0,0,0,0.00039557,0,0,0,0,0,0,0,0,0,0,0,0.000197785,0,0,0,0,0,0.000197785,0,0,0,0.000791139,0,0,0,0,0,0.00039557,0.00039557,0,0.000197785,0,0.012658228,0,0,0,0.000593354,0,0,0,0,0,0.019185127,0.069224684,0,0,0.003757911,0,0,0,0,0,0,0
