Site	Date	Day-Night	Conc	Kw.perhr	Vf.myr	Uptake.Obs	Uptake.Pred
6-SBChest	7/31/08	Night	0.679904552	0.193052599	101.4684458	189.0105704	179.5600496
6-SBChest	7/31/08	Night	0.523356666	0.199602856	104.9112611	150.4274187	149.6909826
6-SBChest	7/31/08	Night	0.470349232	0.197783885	103.9552099	133.9595976	138.4208137
6-SBChest	7/31/08	Night	0.426290042	0.212355477	111.6140389	130.3560366	128.5448019
6-SBChest	7/31/08	Night	0.245184991	0.232070387	121.9761954	81.93625322	82.26333424
6-SBChest	7/31/08	Night	0.256114974	0.233814745	122.8930299	86.23217856	85.3501892
6-SBChest	7/31/08	Night	0.170482345	0.25042567	131.6237322	61.47814395	59.98710389
6-SBChest	7/31/08	Night	0.15350684	0.245514096	129.042209	54.27085415	54.61887521
6-SBChest	7/31/08	Night	0.076302359	0.266699704	140.1773642	29.30373583	28.6059014
7-MartinsCentral	8/4/08	Day	3.042712646	0.068067557	41.73902569	347.9448255	328.6604928
7-MartinsCentral	8/4/08	Day	2.368553853	0.07006678	42.96494925	278.8076605	316.2660067
7-MartinsCentral	8/4/08	Day	1.791367864	0.110042675	67.47816816	331.1732109	299.8231985
7-MartinsCentral	8/4/08	Day	1.436317521	0.114871846	70.43941607	277.1873081	284.803022
7-MartinsCentral	8/4/08	Day	1.155396036	0.139819093	85.73706812	271.3979963	268.3137439
7-MartinsCentral	8/4/08	Day	0.838626811	0.164634173	100.9536747	231.9519404	241.3296703
7-MartinsCentral	8/4/08	Night	0.639718786	0.195396858	119.8173534	209.9983887	216.622692
7-MartinsCentral	8/4/08	Night	0.378560695	0.263445495	161.5447778	167.5465847	166.9180793
7-MartinsCentral	8/4/08	Night	0.185268596	0.351970599	215.8283712	109.5512855	105.2184495
7-MartinsCentral	8/4/08	Night	0.090922632	0.442292231	271.2135958	67.56014781	60.08384515
7-MartinsCentral	8/4/08	Night	0.058602048	0.451010958	276.5599195	44.40267838	41.02456117
8-LINX2.PIE	NA	NA	0.050301336	NA	101.7	NA	NA
8-LINX2.PIE	NA	NA	0.052829167	NA	53.1	NA	NA
8-LINX2.PIE	NA	NA	0.015269557	NA	NA	NA	NA
8-LINX2.PIE	NA	NA	0.112157191	NA	49.7	NA	NA
8-LINX2.PIE	NA	NA	1.336178492	NA	21.1	NA	NA
8-LINX2.PIE	NA	NA	0.512805	NA	46.6	NA	NA
8-LINX2.PIE	NA	NA	0.989325833	NA	35.4	NA	NA
8-LINX2.PIE	NA	NA	1.1641975	NA	9.2	NA	NA
8-LINX2.PIE	NA	NA	1.02473992	NA	9.3	NA	NA
